cohort_year,observation_window_days,total_cohort_cves,observed_exploits_count,observed_fraction_pct,true_underlying_median_days,unadjusted_observed_median_days,km_standardized_180d_median_days,truncation_distortion_ratio
2018,2920,5000,4969,99.38,90.0,90.47,51.72,1.75
2020,2190,6000,5955,99.25,66.67,63.95,42.6,1.5
2022,1460,8000,7928,99.1,49.39,50.04,36.66,1.37
2024,730,10000,9858,98.58,36.59,35.54,29.31,1.21
2025,365,12000,11520,96.0,31.49,29.41,26.25,1.12
2026,240,15000,14097,93.98,27.11,24.42,23.37,1.05
